date,open_price,high_price,low_price,close_price,volume,symbol,daily_return,MA_7
2025-10-10,254.94,256.38,244.0,245.27,61999098,AAPL,,
2025-10-13,249.38,249.69,245.56,247.66,38142942,AAPL,0.009744363354670327,
2025-10-14,246.6,248.845,244.7,247.77,35477986,AAPL,0.0004441573124445153,
2025-10-15,249.485,251.82,247.47,249.34,33893611,AAPL,0.006336521774226167,
2025-10-16,248.25,249.04,245.13,247.45,39776974,AAPL,-0.007580011229646355,
2025-10-17,248.02,253.38,247.27,252.29,49146961,AAPL,0.0195595069711052,
2025-10-20,255.885,264.375,255.63,262.24,90483029,AAPL,0.03943874113123802,250.28857142857143
2025-10-21,261.88,265.29,261.83,262.77,46695948,AAPL,0.0020210494203782847,252.78857142857143
2025-10-22,262.65,262.85,255.43,258.45,45015254,AAPL,-0.016440232903299434,254.32999999999998
2025-10-23,259.94,260.62,258.0101,259.58,32754941,AAPL,0.0043722189978718795,256.01714285714286
2025-10-24,261.19,264.13,259.18,262.82,38253717,AAPL,0.012481701209646312,257.9428571428571
2025-10-27,264.88,269.12,264.6501,268.81,44888152,AAPL,0.02279126398295417,260.9942857142857
2025-10-28,268.985,269.89,268.15,269.0,41534759,AAPL,0.0007068189427477112,263.38142857142856
2025-10-29,269.275,271.41,267.11,269.7,51086742,AAPL,0.0026022304832713505,264.44714285714286
2025-10-30,271.99,274.14,268.48,271.4,69886534,AAPL,0.006303299962921782,265.68
2025-10-31,276.99,277.32,269.16,270.37,86167123,AAPL,-0.0037951363301399477,267.3828571428571
2025-11-03,270.42,270.85,266.25,269.05,50194583,AAPL,-0.004882198468765031,268.7357142857143
2025-11-04,268.325,271.486,267.615,270.04,49274846,AAPL,0.0036796134547483206,269.76714285714286
2025-11-05,268.61,271.7,266.93,270.14,42586288,AAPL,0.00037031550881327924,269.95714285714286
2025-11-06,267.89,273.4,267.89,269.77,51204045,AAPL,-0.0013696601762049898,270.0671428571428
2025-11-07,269.795,272.29,266.77,268.47,48227365,AAPL,-0.004818919820587686,269.89142857142855
2025-11-10,268.96,273.73,267.455,269.43,41312412,AAPL,0.003575818527209673,269.61
2025-11-11,269.81,275.91,269.8,275.25,46208318,AAPL,0.021601158000222664,270.3071428571429
2025-11-12,275.0,275.73,271.7,273.47,48397982,AAPL,-0.006466848319709229,270.93857142857144
2025-11-13,274.11,276.699,272.09,272.95,49602794,AAPL,-0.0019014882802502742,271.3542857142857
2025-11-14,271.05,275.96,269.6,272.41,47431331,AAPL,-0.0019783843194722817,271.67857142857144
2025-11-17,268.815,270.49,265.73,267.46,45018260,AAPL,-0.01817113909181034,271.34857142857146
2025-11-18,269.99,270.71,265.32,267.44,45677278,AAPL,-7.477753682783028e-05,271.2014285714286
2025-11-19,265.525,272.21,265.5,268.56,40424492,AAPL,0.004187855219862424,271.07714285714286
2025-11-20,270.83,275.43,265.92,266.25,45823568,AAPL,-0.008601429848078657,269.7914285714286
2025-11-21,265.95,273.33,265.67,271.49,59030832,AAPL,0.019680751173708932,269.50857142857143
2025-11-24,270.9,277.0,270.9,275.92,65585796,AAPL,0.01631735975542381,269.93285714285713
2025-11-25,275.27,280.38,275.25,276.97,46914220,AAPL,0.003805450855320469,270.5842857142857
2025-11-26,276.96,279.53,276.63,277.55,33431423,AAPL,0.002094089612593386,272.0257142857143
2025-11-28,277.26,279.0,275.9865,278.85,20135620,AAPL,0.004683840749414525,273.6557142857143
2025-12-01,278.01,283.42,276.14,283.1,46587722,AAPL,0.01524116908732287,275.73285714285714
2025-12-02,283.0,287.4,282.6301,286.19,53669532,AAPL,0.010914871070293097,278.5814285714286
2025-12-03,286.2,288.62,283.3,284.15,43538687,AAPL,-0.007128131660784853,280.39
2025-12-04,284.095,284.73,278.59,280.7,43989056,AAPL,-0.012141474573288735,281.0728571428571
2025-12-05,280.54,281.14,278.05,278.78,47265845,AAPL,-0.006840042750267283,281.33142857142855
2025-12-08,278.13,279.6693,276.15,277.89,36406317,AAPL,-0.003192481526651747,281.38
2025-12-09,278.16,280.03,276.92,277.18,31753410,AAPL,-0.0025549677930115644,281.14142857142855
2025-12-10,277.75,279.75,276.44,278.78,33038318,AAPL,0.005772422252687592,280.5242857142857
2025-12-11,279.095,279.59,273.81,278.03,33247986,AAPL,-0.0026902934213358654,279.3585714285714
2025-12-12,277.9,279.22,276.82,278.28,39532887,AAPL,0.0008991835413445504,278.52
2025-12-15,280.15,280.15,272.84,274.11,50409078,AAPL,-0.014984907287623805,277.5785714285714
2025-12-16,272.82,275.5,271.79,274.61,37648628,AAPL,0.001824085221261429,276.98285714285714
2025-12-17,275.01,276.16,271.64,271.84,50138743,AAPL,-0.010087032518845018,276.11857142857144
2025-12-18,273.605,273.63,266.95,272.19,51630721,AAPL,0.0012875220718069347,275.4057142857143
2025-12-19,272.145,274.6,269.9,273.67,144632048,AAPL,0.0054373783019214805,274.67571428571426
2025-12-22,272.86,273.88,270.505,270.97,36571827,AAPL,-0.00986589688310735,273.66714285714284
2025-12-23,270.84,272.5,269.56,272.36,29641999,AAPL,0.005129719157102253,272.82142857142856
2025-12-24,272.34,275.43,272.195,273.81,17910574,AAPL,0.005323836099280221,272.7785714285714
2025-12-26,274.16,275.37,272.86,273.4,21521802,AAPL,-0.0014973887001936692,272.6057142857143
2025-12-29,272.69,274.36,272.35,273.76,23715213,AAPL,0.0013167520117045584,272.88
2025-12-30,272.81,274.08,272.28,273.08,22139617,AAPL,-0.002483927527761609,273.00714285714287
2025-12-31,273.06,273.68,271.75,271.86,27293639,AAPL,-0.004467555295151526,272.74857142857144
2026-01-02,272.255,277.84,269.0,271.01,37838054,AAPL,-0.003126609284190507,272.7542857142857
2026-01-05,270.64,271.51,266.14,267.26,45647190,AAPL,-0.01383712778126267,272.0257142857143
2026-01-06,267.0,267.55,262.12,262.36,52352090,AAPL,-0.018334206390780428,270.39
2026-01-07,263.2,263.68,259.81,260.33,48309804,AAPL,-0.007737459978655381,268.5228571428571
2026-01-08,257.02,259.29,255.7,259.04,50419337,AAPL,-0.004955249106902593,266.42
2026-01-09,259.075,260.21,256.22,259.37,39996967,AAPL,0.0012739345274861424,264.4614285714286
2026-01-12,259.16,261.3,256.8,260.25,45263767,AAPL,0.0033928364884141526,262.80285714285714
2026-01-13,258.72,261.81,258.39,261.05,45730847,AAPL,0.00307396733909715,261.38
2026-01-14,259.49,261.82,256.71,259.96,40019421,AAPL,-0.0041754453169892125,260.33714285714285
2026-01-15,260.65,261.04,257.05,258.21,39388564,AAPL,-0.006731804893060467,259.7442857142857
2026-01-16,257.9,258.9,254.93,255.53,72142773,AAPL,-0.010379148754889322,259.05857142857144
2026-01-20,252.73,254.79,243.42,246.7,77280987,AAPL,-0.03455562947599111,257.29571428571427
2026-01-21,248.7,251.56,245.18,247.65,54641725,AAPL,0.0038508309687881326,255.62142857142857
2026-01-22,249.2,251.0,248.15,248.35,39708340,AAPL,0.0028265697557035008,253.92142857142855
